Unnamed: 0,time,event_type,side,is_goal,location,bodypart
21,25,2,1,0,,
22,26,1,1,0,3.0,3.0
37,38,1,2,0,15.0,2.0
38,39,1,1,0,9.0,3.0
90,79,2,2,0,,
91,79,1,2,0,3.0,3.0
111,1,3,2,0,,
112,2,1,1,0,3.0,3.0
182,53,2,1,0,,
183,53,1,1,1,3.0,3.0
184,55,1,2,1,3.0,3.0
193,63,2,1,0,,
194,68,1,1,0,3.0,3.0
202,72,3,2,0,,
204,73,1,1,0,3.0,3.0
209,80,3,1,0,,
211,81,1,1,1,3.0,3.0
299,48,2,1,0,,
300,49,1,1,0,13.0,3.0
302,50,9,2,0,,
303,52,1,2,0,3.0,3.0
347,78,2,1,0,,
348,79,1,1,0,13.0,3.0
349,79,2,1,0,,
350,79,1,1,0,13.0,3.0
351,80,3,1,0,,
353,81,1,1,1,13.0,3.0
392,25,3,2,0,,
395,26,1,1,0,3.0,3.0
418,45,3,2,0,,
420,45,1,1,0,3.0,3.0
437,60,2,2,0,,
438,60,1,2,0,3.0,3.0
482,90,2,2,0,,
483,1,1,2,0,12.0,3.0
499,19,2,2,0,,
500,19,1,2,0,13.0,3.0
511,28,2,2,0,,
512,29,1,2,0,7.0,3.0
515,33,1,1,0,15.0,2.0
516,33,1,1,0,3.0,3.0
518,36,9,2,0,,
519,37,1,2,0,3.0,3.0
534,52,1,1,0,15.0,2.0
535,54,1,1,0,3.0,3.0
566,88,2,2,0,,
567,88,1,2,0,3.0,3.0
649,48,1,2,0,15.0,2.0
650,48,1,2,0,3.0,3.0
653,50,3,1,0,,
655,50,1,2,0,3.0,3.0
665,60,3,1,0,,
667,61,1,2,0,3.0,3.0
735,25,2,2,0,,
736,25,1,2,0,3.0,3.0
737,27,3,2,0,,
739,27,1,1,0,3.0,3.0
747,31,3,2,0,,
748,32,1,1,0,3.0,3.0
797,73,3,2,0,,
799,75,1,1,0,3.0,3.0
802,78,2,1,0,,
803,78,1,1,0,3.0,3.0
838,16,2,1,0,,
839,16,1,1,0,12.0,3.0
848,22,2,2,0,,
849,22,1,2,0,10.0,3.0
856,27,2,1,0,,
857,27,1,1,0,3.0,3.0
866,36,2,1,0,,
867,37,1,1,0,3.0,3.0
870,38,2,1,0,,
871,39,1,1,0,3.0,3.0
879,44,3,1,0,,
881,45,1,2,1,3.0,3.0
945,5,2,1,0,,
946,6,1,1,1,3.0,3.0
971,22,2,1,0,,
972,23,1,1,0,3.0,3.0
988,32,2,2,0,,
989,32,1,2,0,13.0,3.0
993,36,2,2,0,,
994,36,1,2,0,3.0,3.0
1033,73,3,1,0,,
1035,74,1,2,0,3.0,3.0
1053,82,3,2,0,,
1054,83,1,1,0,3.0,3.0
1070,1,1,2,0,8.0,1.0
1071,1,1,2,0,11.0,3.0
1157,73,3,2,0,,
1158,73,1,2,0,13.0,3.0
1163,78,1,1,0,3.0,2.0
1164,78,1,1,0,3.0,3.0
1193,4,3,2,0,,
1194,4,1,1,0,3.0,3.0
1206,14,3,2,0,,
1207,18,1,2,0,3.0,3.0
1212,21,2,2,0,,
1213,22,1,2,0,3.0,3.0
1236,37,3,1,0,,
1239,38,1,2,0,3.0,3.0
1254,47,1,2,1,3.0,1.0
1255,49,1,2,0,3.0,3.0
1286,77,3,2,0,,
1288,78,1,1,0,3.0,3.0
1304,90,2,2,0,,
1305,90,1,2,0,3.0,3.0
1310,2,3,2,0,,
1312,4,1,1,0,9.0,3.0
1330,21,3,2,0,,
1332,22,1,1,0,3.0,3.0
1347,34,2,2,0,,
1348,34,1,2,0,3.0,3.0
1390,63,2,2,0,,
1391,63,1,2,0,13.0,3.0
1454,19,3,2,0,,
1455,20,1,1,0,9.0,3.0
1463,25,3,1,0,,
1465,25,1,2,0,3.0,3.0
1468,27,3,1,0,,
1470,28,1,2,0,3.0,3.0
1477,36,2,1,0,,
1478,37,1,1,1,13.0,3.0
1479,37,1,1,0,3.0,3.0
1502,55,3,2,0,,
1503,56,1,1,1,3.0,3.0
1510,64,3,2,0,,
1512,65,1,1,0,3.0,3.0
1520,71,1,2,0,3.0,1.0
1522,75,1,2,0,10.0,3.0
1524,75,1,2,0,13.0,1.0
1525,75,1,2,0,13.0,3.0
1535,82,2,2,0,,
1536,83,1,2,0,3.0,3.0
1540,85,1,1,0,3.0,1.0
1541,85,1,2,0,3.0,3.0
1602,47,2,2,0,,
1603,47,1,2,0,13.0,3.0
1655,3,2,1,0,,
1656,4,1,1,0,3.0,3.0
1712,55,1,2,0,3.0,2.0
1713,55,1,2,0,3.0,3.0
1721,65,1,1,0,8.0,1.0
1722,66,1,1,0,3.0,3.0
1732,73,2,1,0,,
1733,74,1,1,1,3.0,3.0
1836,69,1,1,0,15.0,2.0
1837,70,1,2,0,3.0,3.0
1850,78,2,2,0,,
1851,81,1,1,0,3.0,3.0
1873,3,1,1,0,6.0,2.0
1874,3,1,1,0,10.0,3.0
1888,16,1,2,0,15.0,1.0
1889,16,1,2,0,3.0,3.0
1897,20,3,2,0,,
1899,21,1,1,0,3.0,3.0
1936,45,1,1,0,15.0,2.0
1937,48,1,1,0,3.0,3.0
1976,78,2,2,0,,
1977,78,1,2,1,13.0,3.0
2004,3,2,1,0,,
2005,4,1,1,0,7.0,3.0
2006,7,3,1,0,,
2008,7,1,2,0,3.0,3.0
2018,13,1,1,0,3.0,1.0
2019,14,1,1,0,3.0,3.0
2023,22,3,1,0,,
2025,23,1,2,0,12.0,3.0
2136,4,3,1,0,,
2138,7,1,1,0,3.0,3.0
2169,44,2,1,0,,
2170,44,1,1,0,13.0,3.0
2172,45,1,1,0,3.0,3.0
2175,48,3,1,0,,
2176,49,1,1,0,3.0,3.0
2189,64,3,1,0,,
2190,64,1,2,1,15.0,3.0
2272,47,1,2,0,15.0,2.0
2273,49,1,1,0,3.0,3.0
2294,65,2,1,0,,
2295,66,1,1,0,3.0,3.0
2305,75,3,1,0,,
2306,76,1,1,0,3.0,3.0
2322,85,1,2,0,15.0,1.0
2323,87,1,1,0,3.0,3.0
2332,90,3,2,0,,
2334,90,1,1,0,3.0,3.0
2370,28,1,2,0,9.0,2.0
2371,29,1,1,0,3.0,3.0
2386,37,2,1,0,,
2387,38,1,1,0,3.0,3.0
2395,45,3,1,0,,
2397,47,1,1,1,3.0,3.0
2423,73,1,2,0,15.0,1.0
2424,74,1,1,0,3.0,3.0
2521,54,2,1,0,,
2522,55,1,1,0,3.0,3.0
2531,63,1,1,0,9.0,2.0
2532,63,1,1,0,3.0,3.0
2556,82,1,2,0,3.0,1.0
2557,83,1,1,1,10.0,3.0
2600,32,2,2,0,,
2602,33,1,2,0,3.0,3.0
2624,51,2,1,0,,
2625,51,1,1,0,3.0,3.0
2628,54,1,1,0,6.0,2.0
2631,59,1,2,0,3.0,3.0
2676,90,3,1,0,,
2679,90,1,2,0,3.0,3.0
2727,45,3,1,0,,
2728,49,1,1,0,3.0,3.0
2774,2,2,2,0,,
2776,4,1,1,0,3.0,3.0
2823,41,2,1,0,,
2824,42,1,1,0,3.0,3.0
2833,52,3,2,0,,
2835,53,1,1,0,3.0,3.0
2836,54,9,1,0,,
2837,56,1,1,1,3.0,3.0
2844,59,2,1,0,,
2845,59,1,1,0,7.0,3.0
2909,23,2,2,0,,
2911,24,1,1,0,3.0,3.0
3081,65,1,1,0,11.0,2.0
3082,65,1,1,0,3.0,3.0
3108,90,3,1,0,,
3109,90,1,2,1,3.0,3.0
3116,3,1,2,0,15.0,1.0
3117,8,1,2,0,3.0,3.0
3122,13,1,2,0,9.0,1.0
3123,14,1,1,0,3.0,3.0
3126,24,11,1,0,,
3127,24,1,2,0,3.0,3.0
3177,66,1,2,0,15.0,2.0
3178,66,1,2,0,7.0,3.0
3193,77,2,1,0,,
3194,77,1,1,0,11.0,3.0
3214,90,2,2,0,,
3215,90,1,2,1,13.0,3.0
3244,30,3,1,0,,
3246,32,1,2,0,3.0,3.0
3249,34,9,2,0,,
3250,35,1,1,0,11.0,3.0
3289,80,3,1,0,,
3292,81,1,2,0,3.0,3.0
3297,87,2,2,0,,
3298,87,1,2,0,11.0,3.0
3371,55,3,2,0,,
3372,56,1,1,0,3.0,3.0
3427,10,1,1,0,15.0,2.0
3428,11,1,1,0,11.0,3.0
3449,33,3,2,0,,
3451,34,1,1,0,3.0,3.0
3457,38,3,2,0,,
3459,38,1,1,0,3.0,3.0
3463,42,3,2,0,,
3465,43,1,1,0,10.0,3.0
3493,72,2,1,0,,
3494,72,1,1,0,13.0,3.0
3509,84,3,1,0,,
3510,85,1,2,0,3.0,3.0
3537,28,1,1,0,15.0,2.0
3538,29,1,2,0,3.0,3.0
3540,33,1,2,0,3.0,3.0
3554,48,3,1,0,,
3555,48,1,2,0,3.0,3.0
3572,64,2,1,0,,
3573,65,1,1,0,3.0,3.0
3661,64,3,2,0,,
3663,68,1,1,0,10.0,3.0
3702,4,2,1,0,,
3703,5,1,1,0,3.0,3.0
3724,15,3,2,0,,
3726,16,1,1,0,3.0,3.0
3757,54,1,1,0,3.0,1.0
3758,55,1,1,0,12.0,3.0
3808,2,3,1,0,,
3810,3,1,2,1,3.0,3.0
3843,28,3,1,0,,
3845,30,1,2,0,3.0,3.0
3861,42,2,2,0,,
3862,43,1,2,1,3.0,3.0
3904,74,2,1,0,,
3905,74,1,1,0,3.0,3.0
3909,80,2,1,0,,
3911,81,1,1,1,3.0,3.0
4130,85,2,1,0,,
4131,86,1,1,0,3.0,3.0
4140,90,3,2,0,,
4141,90,1,2,0,3.0,3.0
4142,3,1,1,0,3.0,3.0
4160,21,2,1,0,,
4161,22,1,1,0,10.0,3.0
4173,35,2,1,0,,
4174,37,1,1,0,3.0,3.0
4186,45,1,2,0,3.0,1.0
4187,46,1,1,0,3.0,3.0
4216,69,2,1,0,,
4218,70,1,1,0,3.0,3.0
4307,44,2,1,0,,
4308,45,1,1,1,13.0,3.0
4337,64,3,2,0,,
4338,65,1,2,0,15.0,3.0
4392,23,3,1,0,,
4394,24,1,2,0,3.0,3.0
4399,27,2,2,0,,
4400,28,1,2,0,3.0,3.0
4413,36,2,1,0,,
4414,38,1,2,0,15.0,3.0
4446,64,3,1,0,,
4449,66,1,2,0,3.0,3.0
4500,12,2,2,0,,
4501,12,1,2,0,3.0,3.0
4534,51,2,2,0,,
4535,52,1,2,0,13.0,3.0
4565,76,1,1,0,3.0,1.0
4568,78,1,2,0,3.0,3.0
4570,80,1,1,1,15.0,1.0
4571,82,1,2,0,3.0,3.0
4710,13,3,1,0,,
4712,14,1,2,0,3.0,3.0
4716,18,3,2,0,,
4717,19,1,1,0,3.0,3.0
4725,24,3,2,0,,
4726,25,1,1,0,3.0,3.0
4774,74,3,1,0,,
4779,76,1,2,0,3.0,3.0
4814,7,3,2,0,,
4816,8,1,1,0,3.0,3.0
4817,10,3,1,0,,
4820,13,1,1,1,3.0,3.0
4843,32,3,2,0,,
4845,33,1,1,0,3.0,3.0
4850,36,2,2,0,,
4851,36,1,2,0,3.0,3.0
4899,79,2,1,0,,
4900,80,1,1,0,13.0,3.0
4901,80,1,1,1,13.0,3.0
5020,83,3,2,0,,
5022,83,1,1,0,3.0,3.0
5082,29,1,1,0,15.0,1.0
5083,30,1,1,1,3.0,3.0
5086,32,2,1,0,,
5087,32,1,1,0,3.0,3.0
5088,32,1,1,0,3.0,2.0
5089,32,1,1,0,10.0,3.0
5090,33,1,1,0,13.0,3.0
5093,34,1,1,1,3.0,1.0
5094,34,1,1,0,3.0,3.0
5106,44,3,1,0,,
5108,45,1,2,0,3.0,3.0
5128,59,2,1,0,,
5129,59,1,1,0,3.0,3.0
5139,63,3,1,0,,
5143,65,1,1,1,3.0,3.0
5169,83,1,2,0,16.0,1.0
5171,84,1,2,0,3.0,3.0
5269,69,3,1,0,,
5271,70,1,2,0,3.0,3.0
5316,6,9,2,0,,
5317,7,1,1,0,3.0,3.0
5348,38,2,2,0,,
5349,39,1,2,0,3.0,3.0
5418,90,3,2,0,,
5419,90,1,1,0,3.0,3.0
5423,2,2,1,0,,
5424,3,1,1,0,3.0,3.0
5468,42,3,1,0,,
5469,43,1,2,0,3.0,3.0
5476,49,3,2,0,,
5478,52,1,1,0,3.0,3.0
5480,53,9,1,0,,
5483,55,1,2,0,3.0,3.0
5490,63,1,2,0,15.0,1.0
5491,64,1,1,0,3.0,3.0
5504,75,2,1,0,,
