time,event_type,side,is_goal,location,bodypart
25,2,1,0,,
26,1,1,0,3.0,3.0
38,1,2,0,15.0,2.0
39,1,1,0,9.0,3.0
79,2,2,0,,
79,1,2,0,3.0,3.0
1,3,2,0,,
2,1,1,0,3.0,3.0
53,2,1,0,,
53,1,1,1,3.0,3.0
55,1,2,1,3.0,3.0
63,2,1,0,,
68,1,1,0,3.0,3.0
72,3,2,0,,
73,1,1,0,3.0,3.0
80,3,1,0,,
81,1,1,1,3.0,3.0
48,2,1,0,,
49,1,1,0,13.0,3.0
50,9,2,0,,
52,1,2,0,3.0,3.0
78,2,1,0,,
79,1,1,0,13.0,3.0
79,2,1,0,,
79,1,1,0,13.0,3.0
80,3,1,0,,
81,1,1,1,13.0,3.0
25,3,2,0,,
26,1,1,0,3.0,3.0
45,3,2,0,,
45,1,1,0,3.0,3.0
60,2,2,0,,
60,1,2,0,3.0,3.0
90,2,2,0,,
1,1,2,0,12.0,3.0
19,2,2,0,,
19,1,2,0,13.0,3.0
28,2,2,0,,
29,1,2,0,7.0,3.0
33,1,1,0,15.0,2.0
33,1,1,0,3.0,3.0
36,9,2,0,,
37,1,2,0,3.0,3.0
52,1,1,0,15.0,2.0
54,1,1,0,3.0,3.0
88,2,2,0,,
88,1,2,0,3.0,3.0
48,1,2,0,15.0,2.0
48,1,2,0,3.0,3.0
50,3,1,0,,
50,1,2,0,3.0,3.0
60,3,1,0,,
61,1,2,0,3.0,3.0
25,2,2,0,,
25,1,2,0,3.0,3.0
27,3,2,0,,
27,1,1,0,3.0,3.0
31,3,2,0,,
32,1,1,0,3.0,3.0
73,3,2,0,,
75,1,1,0,3.0,3.0
78,2,1,0,,
78,1,1,0,3.0,3.0
16,2,1,0,,
16,1,1,0,12.0,3.0
22,2,2,0,,
22,1,2,0,10.0,3.0
27,2,1,0,,
27,1,1,0,3.0,3.0
36,2,1,0,,
37,1,1,0,3.0,3.0
38,2,1,0,,
39,1,1,0,3.0,3.0
44,3,1,0,,
45,1,2,1,3.0,3.0
5,2,1,0,,
6,1,1,1,3.0,3.0
22,2,1,0,,
23,1,1,0,3.0,3.0
32,2,2,0,,
32,1,2,0,13.0,3.0
36,2,2,0,,
36,1,2,0,3.0,3.0
73,3,1,0,,
74,1,2,0,3.0,3.0
82,3,2,0,,
83,1,1,0,3.0,3.0
1,1,2,0,8.0,1.0
1,1,2,0,11.0,3.0
73,3,2,0,,
73,1,2,0,13.0,3.0
78,1,1,0,3.0,2.0
78,1,1,0,3.0,3.0
4,3,2,0,,
4,1,1,0,3.0,3.0
14,3,2,0,,
18,1,2,0,3.0,3.0
21,2,2,0,,
22,1,2,0,3.0,3.0
37,3,1,0,,
38,1,2,0,3.0,3.0
47,1,2,1,3.0,1.0
49,1,2,0,3.0,3.0
77,3,2,0,,
78,1,1,0,3.0,3.0
90,2,2,0,,
90,1,2,0,3.0,3.0
2,3,2,0,,
4,1,1,0,9.0,3.0
21,3,2,0,,
22,1,1,0,3.0,3.0
34,2,2,0,,
34,1,2,0,3.0,3.0
63,2,2,0,,
63,1,2,0,13.0,3.0
19,3,2,0,,
20,1,1,0,9.0,3.0
25,3,1,0,,
25,1,2,0,3.0,3.0
27,3,1,0,,
28,1,2,0,3.0,3.0
36,2,1,0,,
37,1,1,1,13.0,3.0
37,1,1,0,3.0,3.0
55,3,2,0,,
56,1,1,1,3.0,3.0
64,3,2,0,,
65,1,1,0,3.0,3.0
71,1,2,0,3.0,1.0
75,1,2,0,10.0,3.0
75,1,2,0,13.0,1.0
75,1,2,0,13.0,3.0
82,2,2,0,,
83,1,2,0,3.0,3.0
85,1,1,0,3.0,1.0
85,1,2,0,3.0,3.0
47,2,2,0,,
47,1,2,0,13.0,3.0
3,2,1,0,,
4,1,1,0,3.0,3.0
55,1,2,0,3.0,2.0
55,1,2,0,3.0,3.0
65,1,1,0,8.0,1.0
66,1,1,0,3.0,3.0
73,2,1,0,,
74,1,1,1,3.0,3.0
69,1,1,0,15.0,2.0
70,1,2,0,3.0,3.0
78,2,2,0,,
81,1,1,0,3.0,3.0
3,1,1,0,6.0,2.0
3,1,1,0,10.0,3.0
16,1,2,0,15.0,1.0
16,1,2,0,3.0,3.0
20,3,2,0,,
21,1,1,0,3.0,3.0
45,1,1,0,15.0,2.0
48,1,1,0,3.0,3.0
78,2,2,0,,
78,1,2,1,13.0,3.0
3,2,1,0,,
4,1,1,0,7.0,3.0
7,3,1,0,,
7,1,2,0,3.0,3.0
13,1,1,0,3.0,1.0
14,1,1,0,3.0,3.0
22,3,1,0,,
23,1,2,0,12.0,3.0
4,3,1,0,,
7,1,1,0,3.0,3.0
44,2,1,0,,
44,1,1,0,13.0,3.0
45,1,1,0,3.0,3.0
48,3,1,0,,
49,1,1,0,3.0,3.0
64,3,1,0,,
64,1,2,1,15.0,3.0
47,1,2,0,15.0,2.0
49,1,1,0,3.0,3.0
65,2,1,0,,
66,1,1,0,3.0,3.0
75,3,1,0,,
76,1,1,0,3.0,3.0
85,1,2,0,15.0,1.0
87,1,1,0,3.0,3.0
90,3,2,0,,
90,1,1,0,3.0,3.0
28,1,2,0,9.0,2.0
29,1,1,0,3.0,3.0
37,2,1,0,,
38,1,1,0,3.0,3.0
45,3,1,0,,
47,1,1,1,3.0,3.0
73,1,2,0,15.0,1.0
74,1,1,0,3.0,3.0
54,2,1,0,,
55,1,1,0,3.0,3.0
63,1,1,0,9.0,2.0
63,1,1,0,3.0,3.0
82,1,2,0,3.0,1.0
83,1,1,1,10.0,3.0
32,2,2,0,,
33,1,2,0,3.0,3.0
51,2,1,0,,
51,1,1,0,3.0,3.0
54,1,1,0,6.0,2.0
59,1,2,0,3.0,3.0
90,3,1,0,,
90,1,2,0,3.0,3.0
45,3,1,0,,
49,1,1,0,3.0,3.0
2,2,2,0,,
4,1,1,0,3.0,3.0
41,2,1,0,,
42,1,1,0,3.0,3.0
52,3,2,0,,
53,1,1,0,3.0,3.0
54,9,1,0,,
56,1,1,1,3.0,3.0
59,2,1,0,,
59,1,1,0,7.0,3.0
23,2,2,0,,
24,1,1,0,3.0,3.0
65,1,1,0,11.0,2.0
65,1,1,0,3.0,3.0
90,3,1,0,,
90,1,2,1,3.0,3.0
3,1,2,0,15.0,1.0
8,1,2,0,3.0,3.0
13,1,2,0,9.0,1.0
14,1,1,0,3.0,3.0
24,11,1,0,,
24,1,2,0,3.0,3.0
66,1,2,0,15.0,2.0
66,1,2,0,7.0,3.0
77,2,1,0,,
77,1,1,0,11.0,3.0
90,2,2,0,,
90,1,2,1,13.0,3.0
30,3,1,0,,
32,1,2,0,3.0,3.0
34,9,2,0,,
35,1,1,0,11.0,3.0
80,3,1,0,,
81,1,2,0,3.0,3.0
87,2,2,0,,
87,1,2,0,11.0,3.0
55,3,2,0,,
56,1,1,0,3.0,3.0
10,1,1,0,15.0,2.0
11,1,1,0,11.0,3.0
33,3,2,0,,
34,1,1,0,3.0,3.0
38,3,2,0,,
38,1,1,0,3.0,3.0
42,3,2,0,,
